mean_intensity,std_intensity,median_intensity,min_intensity,max_intensity,q25_intensity,q75_intensity,edge_density,texture_energy,texture_contrast,texture_correlation,texture_homogeneity,lbp_hist_1,lbp_hist_2,lbp_hist_3,lbp_hist_4,lbp_hist_5,lbp_hist_6,lbp_hist_7,lbp_hist_8,lbp_hist_9,lbp_hist_10,haralick_1,haralick_2,haralick_3,haralick_4,haralick_5,haralick_6,haralick_7,haralick_8,malware_family
101.614501953125,56.15524636211857,106.0,0.0,255.0,62.0,142.0,0.384033203125,96.418701171875,56.15524636211857,0.0038340179870167243,101.614501953125,1319.0,291.0,221.0,187.0,187.0,239.0,198.0,198.0,318.0,938.0,96.418701171875,3153.4116939902306,0.0038340179870167243,3153.4116939902306,0.16250309572308663,101.614501953125,3153.4116939902306,7.47327233466388,Swizzor.gen!I
100.5205078125,56.560035938524,98.0,0.0,255.0,57.0,143.0,0.373779296875,102.34765625,56.560035938524,-0.06126947591196731,100.5205078125,1277.0,272.0,220.0,186.0,212.0,242.0,175.0,174.0,292.0,1046.0,102.34765625,3199.0376653671265,-0.06126947591196731,3199.0376653671265,0.1201163110611443,100.5205078125,3199.0376653671265,7.6457046845158585,Swizzor.gen!I
98.284423828125,53.867897693469715,99.0,0.0,255.0,62.0,135.0,0.378173828125,99.203369140625,53.867897693469715,-0.15369382628852202,98.284423828125,1325.0,285.0,227.0,182.0,238.0,249.0,196.0,235.0,313.0,846.0,99.203369140625,2901.7504019141197,-0.15369382628852202,2901.7504019141197,0.14924759738361365,98.284423828125,2901.7504019141197,7.480490154365507,Swizzor.gen!I
96.322998046875,57.45317742379302,94.0,0.0,255.0,54.0,136.0,0.386962890625,101.612548828125,57.45317742379302,0.007820721354815643,96.322998046875,1311.0,320.0,244.0,176.0,208.0,238.0,170.0,224.0,318.0,887.0,101.612548828125,3300.86759608984,0.007820721354815643,3300.86759608984,0.13442611089153214,96.322998046875,3300.86759608984,7.570347783270651,Swizzor.gen!I
103.02978515625,55.90756960740618,106.0,0.0,254.0,59.0,144.0,0.3828125,100.60546875,55.90756960740618,-0.06638078370472703,103.02978515625,1243.0,281.0,234.0,182.0,222.0,229.0,204.0,238.0,278.0,985.0,100.60546875,3125.656339406967,-0.06638078370472703,3125.656339406967,0.1290169332477337,103.02978515625,3125.656339406967,7.599929496162693,Swizzor.gen!I
103.185302734375,57.78242113474918,103.0,0.0,255.0,60.0,144.0,0.380126953125,100.827392578125,57.78242113474918,-0.04677622307147614,103.185302734375,1274.0,245.0,219.0,178.0,224.0,231.0,188.0,225.0,269.0,1043.0,100.827392578125,3338.808192193508,-0.04677622307147614,3338.808192193508,0.12370119190199795,103.185302734375,3338.808192193508,7.632535791540719,Swizzor.gen!I
100.901611328125,55.128116384959334,101.0,0.0,254.0,61.0,140.0,0.374755859375,99.744384765625,55.128116384959334,-0.04078154429231426,100.901611328125,1269.0,251.0,244.0,192.0,227.0,235.0,194.0,235.0,289.0,960.0,99.744384765625,3039.1092161536217,-0.04078154429231426,3039.1092161536217,0.12641745099695184,100.901611328125,3039.1092161536217,7.5909808518466875,Swizzor.gen!I
105.17822265625,56.82605615877103,107.0,0.0,255.0,63.0,146.0,0.371337890625,100.2841796875,56.82605615877103,-0.19480141634986353,105.17822265625,1268.0,295.0,248.0,163.0,228.0,215.0,191.0,196.0,308.0,984.0,100.2841796875,3229.200658559799,-0.19480141634986353,3229.200658559799,0.13528666991995258,105.17822265625,3229.200658559799,7.569748770360109,Swizzor.gen!I
105.01708984375,58.47972823284356,108.0,0.0,254.0,61.0,146.0,0.376220703125,100.0302734375,58.47972823284356,-0.08222048567786167,105.01708984375,1221.0,297.0,242.0,199.0,219.0,221.0,211.0,211.0,301.0,974.0,100.0302734375,3419.8786141872406,-0.08222048567786167,3419.8786141872406,0.12452616597656078,105.01708984375,3419.8786141872406,7.616031644603587,Swizzor.gen!I
99.410888671875,58.26076104824927,103.0,0.0,255.0,58.0,141.0,0.3896484375,95.528564453125,58.26076104824927,-0.056395496578151794,99.410888671875,1352.0,310.0,175.0,169.0,212.0,245.0,172.0,193.0,312.0,956.0,95.528564453125,3394.3162779212,-0.056395496578151794,3394.3162779212,0.18182398180032078,99.410888671875,3394.3162779212,7.40787602172792,Swizzor.gen!I
