mean_intensity,std_intensity,median_intensity,q25_intensity,q75_intensity,texture_contrast,texture_correlation,texture_homogeneity,lbp_hist_1,haralick_2,haralick_3,haralick_4,haralick_6,haralick_7,haralick_8,malware_family
-0.19173156662819502,-0.2523172994701705,0.06018669178433754,-0.005641992526166456,-0.3546292756841321,-0.2523172994701705,0.18235858661624513,-0.19173156662819502,-0.35248811836037897,-0.30470609032949575,0.18235858661624513,-0.30470609032949575,-0.19173156662819502,-0.30470609032949575,0.4389876964372073,Swizzor.gen!I
-0.24950273325153577,-0.2065039924599878,-0.2520659244768167,-0.15649740766430892,-0.27778652905701806,-0.2065039924599878,-0.14950826178095758,-0.24950273325153577,-0.5350631853393341,-0.2608964764134422,-0.14950826178095758,-0.2608964764134422,-0.24950273325153577,-0.2608964764134422,0.9586780536665058,Swizzor.gen!I
-0.3675848834642512,-0.5111950297879705,-0.2130343474441724,-0.005641992526166456,-0.8925285020739305,-0.5111950297879705,-0.6206439265152996,-0.3675848834642512,-0.32640596593481397,-0.5463488150924481,-0.6206439265152996,-0.5463488150924481,-0.3675848834642512,-0.5463488150924481,0.460741336646686,Swizzor.gen!I
-0.4711630027795647,-0.10541995410229746,-0.4081922326073938,-0.2470106567471944,-0.8156857554468165,-0.10541995410229746,0.20268091653941053,-0.4711630027795647,-0.38726432159446567,-0.16312036742478875,0.20268091653941053,-0.16312036742478875,-0.4711630027795647,-0.16312036742478875,0.7315614194535341,Swizzor.gen!I
-0.11699390697287111,-0.28034887899770095,0.06018669178433754,-0.09615524160905194,-0.200943782429904,-0.28034887899770095,-0.17556329365072487,-0.11699390697287111,-0.6828620490842024,-0.3313565118263117,-0.17556329365072487,-0.3313565118263117,-0.11699390697287111,-0.3313565118263117,0.8207171431533892,Swizzor.gen!I
-0.10878140236696437,-0.06815678308601009,-0.056908039313595296,-0.06598415858142344,-0.200943782429904,-0.06815678308601009,-0.07562850732936634,-0.10878140236696437,-0.5481042615521166,-0.12669017609108016,-0.07562850732936634,-0.12669017609108016,-0.10878140236696437,-0.12669017609108016,0.9189885945804379,Swizzor.gen!I
-0.2293775846018962,-0.36856589806507783,-0.13497119337888386,-0.03581307555379495,-0.5083147689383603,-0.36856589806507783,-0.04507046759219194,-0.2293775846018962,-0.5698393885734208,-0.4144582177374796,-0.04507046759219194,-0.4144582177374796,-0.2293775846018962,-0.4144582177374796,0.7937470057905635,Swizzor.gen!I
-0.0035401541754154766,-0.17639633472502955,0.09921826881698181,0.02452909050146204,-0.04725828917567585,-0.17639633472502955,-0.830190995986397,-0.0035401541754154766,-0.5741864139776816,-0.2319342637427726,-0.830190995986397,-0.2319342637427726,-0.0035401541754154766,-0.2319342637427726,0.7297560666080161,Swizzor.gen!I
-0.01204918563522465,0.010763095358144271,0.1382498458496261,-0.03581307555379495,-0.04725828917567585,0.010763095358144271,-0.2563066095399076,-0.01204918563522465,-0.7784966079779408,-0.04884714545797353,-0.2563066095399076,-0.04884714545797353,-0.01204918563522465,-0.04884714545797353,0.8692470813151728,Swizzor.gen!I
-0.3080990180770398,-0.014019190149440074,-0.056908039313595296,-0.12632632463668042,-0.43147202231124615,-0.014019190149440074,-0.12466301824953946,-0.3080990180770398,-0.2090362800197714,-0.07339185209789977,-0.12466301824953946,-0.07339185209789977,-0.3080990180770398,-0.07339185209789977,0.24189107703636462,Swizzor.gen!I
-0.04894744023821533,0.029482866453744972,0.02115511475169326,-0.03581307555379495,-0.12410103580278992,0.029482866453744972,0.05630054957586241,-0.04894744023821533,-0.46116375346689986,-0.030245790082676104,0.05630054957586241,-0.030245790082676104,-0.04894744023821533,-0.030245790082676104,0.823278358875259,Swizzor.gen!I
-0.3090401685263824,-0.19171834310109231,-0.2130343474441724,-0.18666849069193742,-0.4891040822815817,-0.19171834310109231,-0.542677417376391,-0.3090401685263824,-0.5437572361478558,-0.2466903287010751,-0.542677417376391,-0.2466903287010751,-0.3090401685263824,-0.2466903287010751,0.7962132258570727,Swizzor.gen!I
0.06542167806476523,0.03631358477111296,0.09921826881698181,-0.005641992526166456,-0.04725828917567585,0.03631358477111296,0.06465231705685688,0.06542167806476523,-0.3916113469987265,-0.02344519813723564,0.06465231705685688,-0.02344519813723564,0.06542167806476523,-0.02344519813723564,1.0183968013302769,Swizzor.gen!I
-0.03896866698080276,-0.4546519275925142,0.09921826881698181,0.205555588667233,-0.3546292756841321,-0.4546519275925142,-0.05707291881521492,-0.03896866698080276,-0.31771191512629227,-0.4944277136467905,-0.05707291881521492,-0.4944277136467905,-0.03896866698080276,-0.4944277136467905,0.5371475543885756,Swizzor.gen!I
-0.4059528798648453,-0.43717256416605554,-0.29109750150946095,-0.12632632463668042,-0.7388430088197024,-0.43717256416605554,0.8347083057602225,-0.4059528798648453,-0.5220221091265516,-0.4782801763384382,0.8347083057602225,-0.4782801763384382,-0.4059528798648453,-0.4782801763384382,0.6508457286346319,Swizzor.gen!I
-1.1225422534998657,0.6777671120501435,-0.6033501177706152,-1.453853977852334,-1.1998994885823868,0.6777671120501435,-0.8308737353250492,-1.1225422534998657,1.5775911611314322,0.6463511499427482,-0.8308737353250492,0.6463511499427482,-1.1225422534998657,0.6463511499427482,-1.6429080202200717,Swizzor.gen!I
-0.2235501872991178,-0.22531809144018156,0.02115511475169326,-0.005641992526166456,-0.5083147689383603,-0.22531809144018156,-0.1330980017868562,-0.2235501872991178,-0.7002501507012459,-0.2789257984010428,-0.1330980017868562,-0.2789257984010428,-0.2235501872991178,-0.2789257984010428,0.5791583930954567,Swizzor.gen!I
0.022180327282644068,-0.3694604526615019,0.06018669178433754,0.1753845056396045,-0.12410103580278992,-0.3694604526615019,-0.10277887093568348,0.022180327282644068,-0.46985780427542156,-0.4152949255942808,-0.10277887093568348,-0.4152949255942808,0.022180327282644068,-0.4152949255942808,0.7342318144120067,Swizzor.gen!I
-1.080706182155804,0.7874770225792435,-0.5643185407379709,-1.7253937251009905,-0.8925285020739305,0.7874770225792435,-0.8531546570067139,-1.080706182155804,1.529773881684563,0.7670861294494454,-0.8531546570067139,0.7670861294494454,-1.080706182155804,0.7670861294494454,-1.9013481318987733,Swizzor.gen!I
0.18850610737809578,0.08764761332382405,0.17728142288227036,0.145213422611976,0.18326995070566635,0.08764761332382405,0.8731061507004195,0.18850610737809578,-0.46985780427542156,0.027886244987248284,0.8731061507004195,0.027886244987248284,0.18850610737809578,0.027886244987248284,1.0079810653624468,Swizzor.gen!I
-0.3111803188632435,-0.2265533023004191,-0.17400277041152812,-0.09615524160905194,-0.5851575155654742,-0.2265533023004191,0.27155452850407186,-0.3111803188632435,-0.7915376841907233,-0.28010762952252954,0.27155452850407186,-0.28010762952252954,-0.3111803188632435,-0.28010762952252954,0.6727500725513298,Swizzor.gen!I
-0.1364744320270706,-0.19050413231763733,0.02115511475169326,0.02452909050146204,-0.43147202231124615,-0.19050413231763733,-0.29401969043363263,-0.1364744320270706,-0.2525065340623798,-0.24552225083901735,-0.29401969043363263,-0.24552225083901735,-0.1364744320270706,-0.24552225083901735,0.5687700275351404,Swizzor.gen!I
-0.159732451350549,-0.038087662293472935,-0.01787646228095102,0.05470017352909053,-0.5083147689383603,-0.038087662293472935,0.009753583234263393,-0.159732451350549,-0.5567983123606383,-0.09714145261931756,0.009753583234263393,-0.09714145261931756,-0.159732451350549,-0.09714145261931756,0.7675584988513429,Swizzor.gen!I
-0.06262635293345402,0.07276867455276481,0.02115511475169326,-0.06598415858142344,-0.12410103580278992,0.07276867455276481,0.06312143269243434,-0.06262635293345402,-0.5089810329137691,0.012967396020419119,0.06312143269243434,0.012967396020419119,-0.06262635293345402,0.012967396020419119,0.877702263709645,Swizzor.gen!I
